
Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
733	23	15	19
734	17	21	12
735	21	12	17
736	23	19	14
737	23	19	15
738	14	23	19
739	25	16	21
740	25	14	20
741	23	12	18
742	21	17	13
743	15	19	23
744	19	23	14
745	23	12	19
746	23	19	15
747	21	16	25
748	19	15	25
749	19	23	15
750	21	17	13
751	23	15	19
752	17	23	13
753	15	19	23
754	23	18	14
755	14	21	25
756	17	12	21
757	23	14	19
758	18	14	23
759	17	21	12
760	23	12	19
761	21	16	12
762	21	13	17
763	14	23	18
764	20	25	16
765	14	19	23
766	17	22	13
767	23	14	19
768	21	17	12
769	15	23	19
770	16	23	12
771	17	12	23
772	14	23	19
773	17	21	13
774	19	15	25
775	16	20	24
776	16	25	21
777	20	24	16
778	19	25	15
779	25	15	21
780	14	19	25
781	25	20	16
782	21	17	12
783	23	19	15
784	14	19	25
785	18	23	14
786	25	14	20
787	23	19	14
788	21	12	16
789	23	12	19
790	17	13	21
791	25	14	21
792	19	14	23
793	16	21	12
794	14	25	20
795	12	21	16
796	25	16	20
797	21	17	12
798	21	17	25
799	21	16	12
800	21	25	16
801	21	14	25
802	19	23	14
803	14	23	18
804	14	23	18
805	16	21	12
806	23	12	18
807	12	19	23
808	12	16	21
809	18	23	14
810	20	25	16
811	24	20	16
812	12	23	19
813	13	17	21
814	15	23	19
815	12	21	17
816	21	17	12
817	14	23	18
818	16	25	20
819	19	15	23
820	21	12	17
821	23	18	14
822	12	16	23
823	15	23	19
824	12	19	23
825	19	23	14
826	21	16	25
827	25	18	14
828	16	25	21
829	23	18	14
830	14	23	18
831	23	15	19
832	24	20	16
833	23	18	14
834	25	21	16
835	19	15	23
836	16	21	12
837	16	21	25
838	18	14	25
839	23	18	14
840	21	12	16
841	12	16	21
842	14	18	23
843	19	23	15
844	12	16	23
845	23	18	14
846	23	18	14
847	19	23	15
848	23	19	14
849	14	18	25
850	21	25	16
851	23	14	18
852	21	12	16
853	17	21	13
854	25	15	21
855	13	17	23
856	18	23	14
857	19	14	25
858	12	17	21
859	21	12	17
860	18	14	23
861	21	13	17
862	25	14	20
863	17	21	12
864	23	14	18
865	25	20	16
866	12	23	19
867	25	21	16
868	23	12	19
869	23	19	15
870	14	19	23
871	21	25	16
872	17	12	21
873	21	13	17
874	13	17	22
875	25	16	21
876	18	14	24
877	19	14	25
878	37	33	42
879	23	18	14
880	16	12	21
881	15	23	19
882	21	16	12
883	21	17	12
884	21	12	16
885	17	13	21
886	16	25	21
887	13	17	22
888	16	21	12
889	16	21	12
890	25	14	20
891	13	23	19
892	17	21	13
893	13	23	19
894	16	12	23
895	14	23	18
896	23	13	19
897	23	14	18
898	14	25	20
899	17	21	12
900	17	21	12
901	17	21	13
902	16	21	12
903	21	16	25
904	19	23	15
905	12	23	19
906	19	23	15
907	19	14	23
908	12	17	21
909	14	23	19
910	11	22	17
911	13	23	19
912	14	18	24
913	18	14	24
914	12	23	18
915	16	20	25
916	17	25	21
917	14	24	20
918	17	13	21
919	12	21	16
920	14	18	25
921	20	16	24
922	25	19	15
923	25	16	21
924	12	17	23
925	23	12	19
926	25	16	20
927	25	21	17
928	13	19	23
929	21	17	12
930	14	25	20
931	19	25	14
932	21	13	17
933	23	14	19
934	23	14	19
935	17	21	13
936	24	16	20
937	21	13	17
938	19	13	23
939	18	23	14
940	14	19	25
941	14	18	24
942	14	18	23
943	13	21	17
944	21	25	16
945	25	19	14
946	17	13	23
947	23	19	14
948	14	23	19
949	14	19	23
950	17	12	23
951	12	23	18
952	18	14	24
953	20	14	25
954	23	18	14
955	23	14	18
956	13	21	17
957	18	23	14
958	17	11	21
959	17	21	13
960	12	17	23
961	20	16	24
962	19	25	14
963	12	23	19
964	16	12	21
965	25	14	20
966	23	15	19
967	16	21	25
968	23	13	19
969	14	23	18
970	23	14	19
971	25	21	16
972	16	20	24
973	21	12	17
974	21	12	17
975	17	13	21
976	23	14	19
977	23	13	19
978	14	18	23
979	23	17	12
980	18	14	23
981	13	21	17
982	25	20	16
983	12	17	21
984	21	16	12
985	25	20	16
986	12	23	18
987	12	23	18
988	18	14	24
989	21	14	25
990	17	13	23
991	21	13	17
992	14	23	18
993	23	19	14
994	23	19	15
995	25	19	15
996	15	23	19
997	14	23	19
998	18	12	23
999	21	14	25
