
Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
616	23	18	14
617	23	18	14
618	15	25	21
619	16	12	23
620	23	18	14
621	16	21	25
622	23	19	14
623	19	14	25
624	17	12	23
625	53	47	42
626	14	18	23
627	32	40	36
628	36	5	42
629	21	16	25
630	19	14	23
631	12	16	21
632	17	11	21
633	34	30	38
634	21	12	17
635	25	15	21
636	14	19	23
637	17	21	13
638	14	18	24
639	23	19	15
640	23	18	14
641	12	21	16
642	15	25	21
643	23	19	14
644	12	16	21
645	17	13	23
646	14	25	21
647	13	17	23
648	17	13	22
649	23	14	18
650	23	15	19
651	14	19	23
652	13	17	23
653	19	15	23
654	13	21	17
655	14	23	19
656	17	21	12
657	18	23	14
658	23	19	14
659	25	14	21
660	15	19	25
661	21	12	16
662	21	17	13
663	17	21	13
664	16	24	20
665	14	23	19
666	23	13	19
667	17	12	23
668	25	20	16
669	21	12	16
670	14	23	19
671	13	21	17
672	23	12	18
673	16	21	12
674	19	15	23
675	21	17	13
676	17	12	23
677	15	21	25
678	19	23	15
679	17	12	21
680	14	19	23
681	21	13	17
682	23	12	18
683	19	12	23
684	13	17	21
685	17	21	13
686	21	25	16
687	14	18	23
688	16	23	12
689	19	23	14
690	12	16	21
691	18	25	14
692	23	19	15
693	23	18	14
694	16	12	23
695	12	16	23
696	21	12	16
697	16	21	12
698	42	51	46
699	19	12	23
700	14	19	23
701	21	17	12
702	22	13	17
703	14	18	24
704	21	25	16
705	18	23	14
706	14	19	23
707	24	20	16
708	17	21	13
709	14	19	23
710	18	23	14
711	21	15	25
712	12	16	21
713	17	25	21
714	21	16	12
715	23	18	14
716	13	17	23
717	23	14	18
718	18	14	23
719	17	21	12
720	21	16	12
721	23	18	14
722	21	17	13
723	14	18	25
724	20	16	25
725	25	14	20
726	21	13	17
727	25	14	21
728	14	24	20
729	22	13	17
730	14	18	23
731	25	20	16
732	18	14	23
733	23	19	14
734	17	21	13
735	17	13	22
736	23	14	19
737	19	25	14
738	24	16	20
739	21	12	17
740	19	14	23
741	12	16	23
742	14	23	19
743	14	25	20
744	12	18	23
745	19	12	23
746	16	21	12
747	14	18	25
748	23	18	14
749	17	12	21
750	14	19	23
751	19	12	23
752	46	50	55
753	25	16	21
754	17	21	12
755	18	23	14
756	23	14	18
757	16	21	12
758	16	25	21
759	19	23	15
760	13	21	17
761	25	19	14
762	19	15	23
763	9	13	186
764	15	11	593
765	25	19	15
766	17	21	12
767	23	15	19
768	12	16	21
769	21	12	17
770	23	14	18
771	20	16	25
772	23	12	18
773	18	14	25
774	14	23	19
775	13	21	17
776	20	25	16
777	47	24	28
778	12	17	21
779	23	14	18
780	77	68	73
781	25	20	16
782	18	14	25
783	23	19	15
784	21	17	12
785	12	21	17
786	14	23	19
787	14	23	18
788	21	12	16
789	12	21	17
790	12	23	18
791	19	23	15
792	14	23	18
793	19	15	25
794	25	21	16
795	13	17	23
796	14	18	25
797	17	12	23
798	25	16	20
799	17	21	12
800	12	17	23
801	40	44	8
802	13	23	19
803	25	21	16
804	25	14	21
805	21	17	12
806	17	12	23
807	16	23	12
808	19	23	14
809	17	21	12
810	14	18	23
811	12	23	19
812	19	14	23
813	23	17	12
814	21	16	12
815	12	21	17
816	17	12	21
817	20	16	25
818	13	21	17
819	23	18	14
820	14	20	25
821	23	14	19
822	23	19	14
823	25	17	21
824	17	21	12
825	17	21	12
826	23	15	19
827	16	20	25
828	17	23	12
829	12	17	23
830	25	14	21
831	18	14	23
832	19	23	14
833	19	15	23
834	12	23	18
835	14	23	19
836	25	20	16
837	14	20	25
838	23	19	15
839	23	13	19
840	23	19	14
841	14	18	24
842	20	25	16
843	21	13	17
844	23	19	14
845	17	13	23
846	16	20	25
847	21	16	12
848	21	12	17
849	12	21	16
850	21	12	17
851	12	23	18
852	15	1105	11
853	16	21	12
854	14	23	19
855	21	17	12
856	15	23	19
857	14	23	19
858	19	12	23
859	16	21	12
860	16	21	12
861	19	23	14
862	13	17	22
863	40	47	51
864	9	13	122
865	18	14	25
866	12	19	23
867	2894	14	10
868	18	23	14
869	21	17	12
870	20	16	25
871	12	16	23
872	12	21	17
873	14	23	19
874	12	23	18
875	17	22	13
876	21	17	13
877	19	23	14
878	17	12	21
879	25	21	16
880	12	21	16
881	16	12	23
882	21	16	12
883	12	21	17
884	12	16	23
885	25	15	21
886	15	19	23
887	23	14	19
888	19	23	14
889	13	17	23
890	14	25	20
891	17	22	13
892	14	18	23
893	21	25	16
894	23	16	12
895	23	19	14
896	16	21	25
897	23	14	18
898	20	16	25
899	20	24	16
900	25	15	21
901	19	23	15
902	21	13	17
903	15	25	21
904	21	13	17
905	12	21	17
906	12	23	19
907	13	17	21
908	19	23	14
909	16	20	25
910	17	23	13
911	12	17	23
912	21	12	17
913	14	23	19
914	18	25	14
915	23	13	19
916	14	23	18
917	17	21	12
918	40	36	32
919	21	16	12
920	23	14	19
921	12	23	18
922	14	19	25
923	23	14	19
924	20	14	24
925	12	16	21
926	25	14	20
927	15	23	19
928	13	21	17
929	21	16	12
930	23	18	14
931	15	19	23
932	14	18	25
933	12	21	16
934	23	14	18
935	21	12	17
936	18	23	14
937	14	19	23
938	19	14	23
939	23	12	19
940	17	13	23
941	19	14	25
942	13	23	19
943	21	25	16
944	21	12	16
945	13	23	19
946	21	17	13
947	20	14	25
948	16	20	25
949	21	17	13
950	14	23	18
951	25	21	17
952	13	23	19
953	23	12	19
954	23	18	14
955	23	14	18
956	24	14	20
957	23	14	18
958	23	14	18
959	21	25	17
960	17	13	23
961	16	21	12
962	18	23	14
963	17	23	12
964	20	24	16
965	15	19	23
966	14	18	23
967	14	23	19
968	12	23	18
969	14	19	25
970	18	23	14
971	14	18	23
972	13	19	23
973	15	23	19
974	19	23	14
975	16	12	23
976	16	25	21
977	19	13	23
978	17	12	23
979	17	13	21
980	19	14	25
981	12	18	23
982	13	17	21
983	15	23	19
984	19	25	15
985	19	23	14
986	16	21	25
987	15	19	23
988	16	23	12
989	19	15	25
990	23	19	14
991	17	12	21
992	14	25	21
993	23	15	19
994	14	19	25
995	16	12	21
996	15	23	19
997	16	23	12
998	14	20	25
999	14	19	23
